time,S,E,I,R,V,cases,reported_cases,reporting_frac,uptake,R0,eta,run
0,97510,2,2,2312,0,1,0,0.25,0,0.2,0.142857,1
1,97511,2,1,2313,0,1,1,0.25,0,0.2,0.142857,1
2,97507,2,1,2313,0,0,0,0.25,0,0.2,0.142857,1
3,97509,2,1,2313,0,0,0,0.25,0,0.2,0.142857,1
4,97510,2,1,2313,0,0,0,0.25,0,0.2,0.142857,1
5,97515,2,1,2313,0,0,0,0.25,0,0.2,0.142857,1
6,97519,2,1,2313,0,0,0,0.25,0,0.2,0.142857,1
7,97518,2,1,2313,0,0,0,0.25,0,0.2,0.142857,1
8,97519,1,2,2313,0,0,0,0.25,0,0.2,0.142857,1
9,97524,1,2,2313,0,0,0,0.25,0,0.2,0.142857,1
10,97524,1,1,2314,0,1,0,0.25,0,0.2,0.142857,1
11,97519,1,1,2314,0,0,0,0.25,0,0.2,0.142857,1
12,97518,2,1,2313,0,0,0,0.25,0,0.2,0.142857,1
13,97515,2,1,2313,0,0,0,0.25,0,0.2,0.142857,1
14,97507,1,1,2314,0,1,0,0.25,0,0.2,0.142857,1
15,97508,1,0,2315,0,1,1,0.25,0,0.2,0.142857,1
16,97505,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
17,97504,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
18,97502,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
19,97504,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
20,97503,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
21,97503,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
22,97503,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
23,97507,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
24,97506,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
25,97505,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
26,97508,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
27,97508,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
28,97506,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
29,97504,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
30,97507,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
31,97508,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
32,97513,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
33,97514,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
34,97512,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
35,97510,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
36,97512,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
37,97513,1,0,2315,0,0,0,0.25,0,0.2,0.142857,1
38,97513,2,0,2315,0,0,0,0.25,0,0.2,0.142857,1
39,97516,2,0,2315,0,0,0,0.25,0,0.2,0.142857,1
40,97515,2,0,2315,0,0,0,0.25,0,0.2,0.142857,1
41,97514,2,0,2315,0,0,0,0.25,0,0.2,0.142857,1
42,97511,3,0,2315,0,0,0,0.25,0,0.2,0.142857,1
43,97511,2,1,2315,0,0,0,0.25,0,0.2,0.142857,1
44,97515,2,1,2315,0,0,0,0.25,0,0.2,0.142857,1
45,97513,1,2,2315,0,0,0,0.25,0,0.2,0.142857,1
46,97515,1,2,2315,0,0,0,0.25,0,0.2,0.142857,1
47,97511,2,2,2315,0,0,0,0.25,0,0.2,0.142857,1
48,97509,1,3,2315,0,0,0,0.25,0,0.2,0.142857,1
49,97511,1,3,2315,0,0,0,0.25,0,0.2,0.142857,1
50,97507,0,4,2315,0,0,0,0.25,0,0.2,0.142857,1
51,97510,0,4,2315,0,0,0,0.25,0,0.2,0.142857,1
52,97508,1,2,2317,0,2,0,0.25,0,0.2,0.142857,1
53,97507,1,2,2317,0,0,0,0.25,0,0.2,0.142857,1
54,97505,1,1,2318,0,1,0,0.25,0,0.2,0.142857,1
55,97503,1,1,2318,0,0,0,0.25,0,0.2,0.142857,1
56,97500,1,1,2318,0,0,0,0.25,0,0.2,0.142857,1
57,97502,1,0,2319,0,1,0,0.25,0,0.2,0.142857,1
58,97501,1,0,2319,0,0,0,0.25,0,0.2,0.142857,1
59,97500,1,0,2319,0,0,0,0.25,0,0.2,0.142857,1
60,97499,0,1,2319,0,0,0,0.25,0,0.2,0.142857,1
61,97501,0,1,2319,0,0,0,0.25,0,0.2,0.142857,1
62,97504,0,1,2318,0,0,0,0.25,0,0.2,0.142857,1
63,97510,0,0,2319,0,1,0,0.25,0,0.2,0.142857,1
64,97511,0,0,2319,0,0,0,0.25,0,0.2,0.142857,1
65,97512,0,0,2319,0,0,0,0.25,0,0.2,0.142857,1
66,97518,0,0,2319,0,0,0,0.25,0,0.2,0.142857,1
67,97521,0,0,2319,0,0,0,0.25,0,0.2,0.142857,1
68,97516,0,0,2318,0,0,0,0.25,0,0.2,0.142857,1
69,97515,0,0,2318,0,0,0,0.25,0,0.2,0.142857,1
70,97519,0,0,2318,0,0,0,0.25,0,0.2,0.142857,1
71,97517,0,0,2318,0,0,0,0.25,0,0.2,0.142857,1
72,97514,0,0,2318,0,0,0,0.25,0,0.2,0.142857,1
73,97514,0,0,2318,0,0,0,0.25,0,0.2,0.142857,1
74,97515,0,0,2318,0,0,0,0.25,0,0.2,0.142857,1
75,97518,0,0,2318,0,0,0,0.25,0,0.2,0.142857,1
76,97514,0,0,2318,0,0,0,0.25,0,0.2,0.142857,1
77,97513,0,0,2318,0,0,0,0.25,0,0.2,0.142857,1
78,97510,0,0,2318,0,0,0,0.25,0,0.2,0.142857,1
79,97509,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
80,97513,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
81,97510,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
82,97516,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
83,97518,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
84,97517,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
85,97518,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
86,97520,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
87,97523,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
88,97523,1,0,2317,0,0,0,0.25,0,0.2,0.142857,1
89,97523,1,0,2317,0,0,0,0.25,0,0.2,0.142857,1
90,97523,1,0,2317,0,0,0,0.25,0,0.2,0.142857,1
91,97527,1,0,2317,0,0,0,0.25,0,0.2,0.142857,1
92,97524,1,0,2317,0,0,0,0.25,0,0.2,0.142857,1
93,97523,1,0,2317,0,0,0,0.25,0,0.2,0.142857,1
94,97519,1,0,2317,0,0,0,0.25,0,0.2,0.142857,1
95,97518,1,0,2316,0,0,0,0.25,0,0.2,0.142857,1
96,97519,2,0,2315,0,0,0,0.25,0,0.2,0.142857,1
97,97518,1,1,2315,0,0,0,0.25,0,0.2,0.142857,1
98,97522,1,1,2315,0,0,0,0.25,0,0.2,0.142857,1
99,97520,1,1,2315,0,0,0,0.25,0,0.2,0.142857,1
100,97523,1,0,2316,0,1,0,0.25,0,0.2,0.142857,1
101,97525,0,1,2316,0,0,0,0.25,0,0.2,0.142857,1
102,97526,0,0,2317,0,1,0,0.25,0,0.2,0.142857,1
103,97523,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
104,97519,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
105,97521,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
106,97521,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
107,97522,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
108,97524,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
109,97525,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
110,97525,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
111,97526,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
112,97527,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
113,97525,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
114,97527,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
115,97524,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
116,97520,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
117,97525,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
118,97526,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
119,97521,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
120,97520,0,0,2317,0,0,0,0.25,0,0.2,0.142857,1
121,97522,1,0,2317,0,0,0,0.25,0,0.2,0.142857,1
122,97526,1,0,2317,0,0,0,0.25,0,0.2,0.142857,1
123,97522,1,0,2317,0,0,0,0.25,0,0.2,0.142857,1
124,97521,2,0,2317,0,0,0,0.25,0,0.2,0.142857,1
125,97517,2,0,2317,0,0,0,0.25,0,0.2,0.142857,1
126,97518,2,0,2317,0,0,0,0.25,0,0.2,0.142857,1
127,97517,2,0,2317,0,0,0,0.25,0,0.2,0.142857,1
128,97516,2,0,2317,0,0,0,0.25,0,0.2,0.142857,1
129,97518,2,0,2316,0,0,0,0.25,0,0.2,0.142857,1
130,97513,2,0,2316,0,0,0,0.25,0,0.2,0.142857,1
131,97508,1,1,2315,0,0,0,0.25,0,0.2,0.142857,1
132,97511,1,1,2315,0,0,0,0.25,0,0.2,0.142857,1
133,97513,1,1,2315,0,0,0,0.25,0,0.2,0.142857,1
134,97510,1,1,2314,0,0,0,0.25,0,0.2,0.142857,1
135,97509,1,0,2315,0,1,0,0.25,0,0.2,0.142857,1
136,97501,2,0,2314,0,0,0,0.25,0,0.2,0.142857,1
137,97503,1,1,2313,0,0,0,0.25,0,0.2,0.142857,1
138,97504,1,1,2313,0,0,0,0.25,0,0.2,0.142857,1
139,97503,1,1,2313,0,0,0,0.25,0,0.2,0.142857,1
140,97499,1,1,2312,0,0,0,0.25,0,0.2,0.142857,1
141,97496,2,1,2312,0,0,0,0.25,0,0.2,0.142857,1
142,97498,2,1,2312,0,0,0,0.25,0,0.2,0.142857,1
143,97500,2,1,2312,0,0,0,0.25,0,0.2,0.142857,1
144,97501,2,1,2311,0,0,0,0.25,0,0.2,0.142857,1
145,97498,1,1,2312,0,1,0,0.25,0,0.2,0.142857,1
146,97495,1,0,2313,0,1,2,0.25,0,0.2,0.142857,1
147,97497,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
148,97498,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
149,97497,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
150,97497,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
151,97497,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
152,97495,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
153,97500,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
154,97499,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
155,97502,0,1,2313,0,0,0,0.25,0,0.2,0.142857,1
156,97501,1,0,2314,0,1,0,0.25,0,0.2,0.142857,1
157,97502,0,1,2314,0,0,0,0.25,0,0.2,0.142857,1
158,97504,1,0,2315,0,1,0,0.25,0,0.2,0.142857,1
159,97504,1,0,2314,0,0,0,0.25,0,0.2,0.142857,1
160,97501,1,0,2314,0,0,0,0.25,0,0.2,0.142857,1
161,97505,1,0,2314,0,0,0,0.25,0,0.2,0.142857,1
162,97503,1,0,2314,0,0,0,0.25,0,0.2,0.142857,1
163,97503,1,0,2314,0,0,0,0.25,0,0.2,0.142857,1
164,97506,1,0,2314,0,0,0,0.25,0,0.2,0.142857,1
165,97511,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
166,97515,2,0,2313,0,0,0,0.25,0,0.2,0.142857,1
167,97516,2,0,2313,0,0,0,0.25,0,0.2,0.142857,1
168,97514,2,0,2313,0,0,0,0.25,0,0.2,0.142857,1
169,97514,2,0,2313,0,0,0,0.25,0,0.2,0.142857,1
170,97508,2,0,2312,0,0,0,0.25,0,0.2,0.142857,1
171,97503,1,1,2312,0,0,0,0.25,0,0.2,0.142857,1
172,97501,1,0,2313,0,1,0,0.25,0,0.2,0.142857,1
173,97501,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
174,97505,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
175,97502,1,1,2312,0,0,0,0.25,0,0.2,0.142857,1
176,97508,1,1,2312,0,0,0,0.25,0,0.2,0.142857,1
177,97510,1,1,2312,0,0,0,0.25,0,0.2,0.142857,1
178,97513,1,0,2313,0,1,0,0.25,0,0.2,0.142857,1
179,97513,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
180,97511,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
181,97510,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
182,97509,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
183,97512,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
184,97513,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
185,97509,0,1,2311,0,0,0,0.25,0,0.2,0.142857,1
186,97510,0,0,2312,0,1,0,0.25,0,0.2,0.142857,1
187,97509,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
188,97505,1,0,2312,0,0,0,0.25,0,0.2,0.142857,1
189,97502,1,0,2312,0,0,0,0.25,0,0.2,0.142857,1
190,97505,1,0,2312,0,0,0,0.25,0,0.2,0.142857,1
191,97506,1,0,2312,0,0,0,0.25,0,0.2,0.142857,1
192,97512,1,0,2311,0,0,0,0.25,0,0.2,0.142857,1
193,97512,0,1,2311,0,0,0,0.25,0,0.2,0.142857,1
194,97513,0,1,2311,0,0,0,0.25,0,0.2,0.142857,1
195,97506,0,2,2311,0,0,0,0.25,0,0.2,0.142857,1
196,97508,0,2,2311,0,0,0,0.25,0,0.2,0.142857,1
197,97502,2,2,2311,0,0,0,0.25,0,0.2,0.142857,1
198,97506,2,2,2311,0,0,0,0.25,0,0.2,0.142857,1
199,97508,2,2,2311,0,0,0,0.25,0,0.2,0.142857,1
200,97507,1,3,2310,0,0,0,0.25,0,0.2,0.142857,1
201,97509,1,2,2311,0,1,0,0.25,0,0.2,0.142857,1
202,97509,1,1,2312,0,1,0,0.25,0,0.2,0.142857,1
203,97507,1,1,2312,0,0,0,0.25,0,0.2,0.142857,1
204,97504,1,0,2313,0,1,2,0.25,0,0.2,0.142857,1
205,97503,2,0,2313,0,0,0,0.25,0,0.2,0.142857,1
206,97502,2,0,2313,0,0,0,0.25,0,0.2,0.142857,1
207,97504,2,0,2313,0,0,0,0.25,0,0.2,0.142857,1
208,97504,2,0,2313,0,0,0,0.25,0,0.2,0.142857,1
209,97502,2,0,2313,0,0,0,0.25,0,0.2,0.142857,1
210,97502,1,2,2312,0,0,0,0.25,0,0.2,0.142857,1
211,97505,1,1,2313,0,1,0,0.25,0,0.2,0.142857,1
212,97504,1,1,2313,0,0,0,0.25,0,0.2,0.142857,1
213,97504,1,1,2313,0,0,0,0.25,0,0.2,0.142857,1
214,97505,1,1,2313,0,0,0,0.25,0,0.2,0.142857,1
215,97508,1,1,2313,0,0,0,0.25,0,0.2,0.142857,1
216,97512,1,1,2312,0,0,0,0.25,0,0.2,0.142857,1
217,97508,1,1,2312,0,0,0,0.25,0,0.2,0.142857,1
218,97507,1,1,2312,0,0,0,0.25,0,0.2,0.142857,1
219,97508,0,1,2313,0,1,0,0.25,0,0.2,0.142857,1
220,97506,0,1,2313,0,0,0,0.25,0,0.2,0.142857,1
221,97505,0,1,2313,0,0,0,0.25,0,0.2,0.142857,1
222,97504,0,1,2313,0,0,0,0.25,0,0.2,0.142857,1
223,97508,0,1,2313,0,0,0,0.25,0,0.2,0.142857,1
224,97505,0,0,2314,0,1,0,0.25,0,0.2,0.142857,1
225,97506,0,0,2314,0,0,0,0.25,0,0.2,0.142857,1
226,97510,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
227,97507,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
228,97507,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
229,97503,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
230,97504,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
231,97503,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
232,97504,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
233,97502,1,0,2313,0,0,0,0.25,0,0.2,0.142857,1
234,97503,0,1,2313,0,0,0,0.25,0,0.2,0.142857,1
235,97501,0,1,2313,0,0,0,0.25,0,0.2,0.142857,1
236,97499,0,1,2313,0,0,0,0.25,0,0.2,0.142857,1
237,97495,0,1,2313,0,0,0,0.25,0,0.2,0.142857,1
238,97499,0,1,2313,0,0,0,0.25,0,0.2,0.142857,1
239,97498,0,0,2314,0,1,0,0.25,0,0.2,0.142857,1
240,97496,0,0,2314,0,0,0,0.25,0,0.2,0.142857,1
241,97492,0,0,2314,0,0,0,0.25,0,0.2,0.142857,1
242,97490,0,0,2314,0,0,0,0.25,0,0.2,0.142857,1
243,97492,0,0,2314,0,0,0,0.25,0,0.2,0.142857,1
244,97491,0,0,2314,0,0,0,0.25,0,0.2,0.142857,1
245,97492,0,0,2314,0,0,0,0.25,0,0.2,0.142857,1
246,97492,0,0,2314,0,0,0,0.25,0,0.2,0.142857,1
247,97494,0,0,2314,0,0,0,0.25,0,0.2,0.142857,1
248,97495,0,0,2314,0,0,0,0.25,0,0.2,0.142857,1
249,97499,0,0,2314,0,0,0,0.25,0,0.2,0.142857,1
250,97501,0,0,2314,0,0,0,0.25,0,0.2,0.142857,1
251,97502,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
252,97501,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
253,97499,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
254,97497,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
255,97493,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
256,97486,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
257,97491,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
258,97490,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
259,97492,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
260,97492,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
261,97489,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
262,97493,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
263,97491,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
264,97490,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
265,97497,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
266,97497,1,0,2312,0,0,0,0.25,0,0.2,0.142857,1
267,97492,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
268,97496,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
269,97495,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
270,97496,0,0,2313,0,1,0,0.25,0,0.2,0.142857,1
271,97496,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
272,97494,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
273,97497,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
274,97499,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
275,97497,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
276,97497,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
277,97497,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
278,97499,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
279,97500,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
280,97502,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
281,97503,1,0,2312,0,0,0,0.25,0,0.2,0.142857,1
282,97502,2,0,2312,0,0,0,0.25,0,0.2,0.142857,1
283,97504,2,0,2312,0,0,0,0.25,0,0.2,0.142857,1
284,97509,3,0,2312,0,0,0,0.25,0,0.2,0.142857,1
285,97513,3,0,2312,0,0,0,0.25,0,0.2,0.142857,1
286,97516,4,0,2312,0,0,0,0.25,0,0.2,0.142857,1
287,97514,4,0,2311,0,0,0,0.25,0,0.2,0.142857,1
288,97522,4,0,2311,0,0,0,0.25,0,0.2,0.142857,1
289,97522,4,0,2311,0,0,0,0.25,0,0.2,0.142857,1
290,97522,3,1,2311,0,0,0,0.25,0,0.2,0.142857,1
291,97522,3,1,2311,0,0,0,0.25,0,0.2,0.142857,1
292,97521,3,1,2311,0,0,0,0.25,0,0.2,0.142857,1
293,97522,2,2,2310,0,0,0,0.25,0,0.2,0.142857,1
294,97523,1,3,2310,0,1,0,0.25,0,0.2,0.142857,1
295,97525,1,2,2311,0,1,0,0.25,0,0.2,0.142857,1
296,97527,1,2,2311,0,0,0,0.25,0,0.2,0.142857,1
297,97526,1,2,2311,0,0,0,0.25,0,0.2,0.142857,1
298,97529,1,1,2311,0,1,1,0.25,0,0.2,0.142857,1
299,97524,1,0,2312,0,1,0,0.25,0,0.2,0.142857,1
300,97521,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
301,97519,0,0,2313,0,1,0,0.25,0,0.2,0.142857,1
302,97521,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
303,97524,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
304,97524,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
305,97526,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
306,97527,0,0,2313,0,0,0,0.25,0,0.2,0.142857,1
307,97524,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
308,97529,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
309,97528,0,0,2312,0,0,0,0.25,0,0.2,0.142857,1
310,97526,1,0,2312,0,0,0,0.25,0,0.2,0.142857,1
311,97528,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
312,97531,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
313,97532,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
314,97532,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
315,97536,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
316,97533,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
317,97531,0,1,2312,0,0,0,0.25,0,0.2,0.142857,1
318,97531,1,1,2312,0,0,0,0.25,0,0.2,0.142857,1
319,97534,1,1,2312,0,0,0,0.25,0,0.2,0.142857,1
320,97537,1,1,2312,0,0,0,0.25,0,0.2,0.142857,1
321,97539,1,1,2312,0,0,0,0.25,0,0.2,0.142857,1
322,97538,3,1,2312,0,0,0,0.25,0,0.2,0.142857,1
323,97538,2,2,2312,0,0,0,0.25,0,0.2,0.142857,1
324,97534,1,2,2313,0,1,0,0.25,0,0.2,0.142857,1
325,97529,3,1,2314,0,1,0,0.25,0,0.2,0.142857,1
326,97526,3,0,2314,0,1,1,0.25,0,0.2,0.142857,1
327,97527,2,1,2314,0,0,0,0.25,0,0.2,0.142857,1
328,97529,2,1,2314,0,0,0,0.25,0,0.2,0.142857,1
329,97531,2,1,2314,0,0,0,0.25,0,0.2,0.142857,1
330,97530,2,1,2314,0,0,0,0.25,0,0.2,0.142857,1
331,97527,2,2,2314,0,0,0,0.25,0,0.2,0.142857,1
332,97525,3,1,2315,0,1,0,0.25,0,0.2,0.142857,1
333,97525,4,1,2313,0,0,0,0.25,0,0.2,0.142857,1
334,97527,4,1,2313,0,0,0,0.25,0,0.2,0.142857,1
335,97531,4,1,2313,0,0,0,0.25,0,0.2,0.142857,1
336,97534,4,1,2313,0,0,0,0.25,0,0.2,0.142857,1
337,97530,5,1,2313,0,0,0,0.25,0,0.2,0.142857,1
338,97531,5,1,2313,0,0,0,0.25,0,0.2,0.142857,1
339,97527,5,1,2313,0,0,0,0.25,0,0.2,0.142857,1
340,97527,3,3,2313,0,0,0,0.25,0,0.2,0.142857,1
341,97529,3,3,2313,0,0,0,0.25,0,0.2,0.142857,1
342,97529,3,3,2313,0,0,0,0.25,0,0.2,0.142857,1
343,97531,3,2,2314,0,1,1,0.25,0,0.2,0.142857,1
344,97532,4,2,2314,0,0,0,0.25,0,0.2,0.142857,1
345,97532,4,1,2315,0,1,0,0.25,0,0.2,0.142857,1
346,97531,4,1,2314,0,0,0,0.25,0,0.2,0.142857,1
347,97529,4,1,2313,0,0,0,0.25,0,0.2,0.142857,1
348,97529,4,1,2312,0,0,0,0.25,0,0.2,0.142857,1
349,97532,3,2,2312,0,0,0,0.25,0,0.2,0.142857,1
350,97536,2,3,2312,0,0,0,0.25,0,0.2,0.142857,1
351,97539,2,2,2313,0,1,0,0.25,0,0.2,0.142857,1
352,97541,2,1,2314,0,1,0,0.25,0,0.2,0.142857,1
353,97541,1,1,2315,0,1,1,0.25,0,0.2,0.142857,1
354,97539,1,0,2316,0,1,1,0.25,0,0.2,0.142857,1
355,97539,1,0,2316,0,0,0,0.25,0,0.2,0.142857,1
356,97541,1,0,2316,0,0,0,0.25,0,0.2,0.142857,1
357,97544,1,0,2316,0,0,0,0.25,0,0.2,0.142857,1
358,97550,1,0,2316,0,0,0,0.25,0,0.2,0.142857,1
359,97554,1,0,2316,0,0,0,0.25,0,0.2,0.142857,1
360,97555,1,0,2316,0,0,0,0.25,0,0.2,0.142857,1
361,97555,2,0,2316,0,0,0,0.25,0,0.2,0.142857,1
362,97555,3,0,2315,0,0,0,0.25,0,0.2,0.142857,1
363,97558,3,0,2315,0,0,0,0.25,0,0.2,0.142857,1
364,97560,2,1,2315,0,0,0,0.25,0,0.2,0.142857,1
365,97561,2,1,2315,0,0,0,0.25,0,0.2,0.142857,1
366,97564,2,0,2316,0,1,0,0.25,0,0.2,0.142857,1
367,97565,2,0,2316,0,0,0,0.25,0,0.2,0.142857,1
368,97566,2,0,2316,0,0,0,0.25,0,0.2,0.142857,1
369,97563,2,0,2316,0,0,0,0.25,0,0.2,0.142857,1
370,97566,1,1,2316,0,0,0,0.25,0,0.2,0.142857,1
371,97572,1,1,2316,0,0,0,0.25,0,0.2,0.142857,1
372,97576,1,1,2316,0,0,0,0.25,0,0.2,0.142857,1
373,97573,1,1,2316,0,0,0,0.25,0,0.2,0.142857,1
374,97576,1,0,2317,0,1,1,0.25,0,0.2,0.142857,1
375,97579,1,0,2317,0,0,0,0.25,0,0.2,0.142857,1
376,97578,0,1,2317,0,0,0,0.25,0,0.2,0.142857,1
377,97578,0,0,2318,0,1,0,0.25,0,0.2,0.142857,1
378,97579,1,0,2318,0,0,0,0.25,0,0.2,0.142857,1
379,97578,1,0,2318,0,0,0,0.25,0,0.2,0.142857,1
380,97575,1,0,2318,0,0,0,0.25,0,0.2,0.142857,1
381,97577,2,0,2317,0,0,0,0.25,0,0.2,0.142857,1
382,97579,1,1,2317,0,0,0,0.25,0,0.2,0.142857,1
383,97579,1,2,2317,0,0,0,0.25,0,0.2,0.142857,1
384,97578,1,2,2317,0,0,0,0.25,0,0.2,0.142857,1
385,97580,1,2,2317,0,0,0,0.25,0,0.2,0.142857,1
386,97585,1,1,2318,0,1,0,0.25,0,0.2,0.142857,1
387,97583,1,1,2318,0,0,0,0.25,0,0.2,0.142857,1
388,97586,1,0,2319,0,1,1,0.25,0,0.2,0.142857,1
389,97586,1,0,2319,0,0,0,0.25,0,0.2,0.142857,1
390,97590,1,0,2319,0,0,0,0.25,0,0.2,0.142857,1
391,97591,2,0,2319,0,0,0,0.25,0,0.2,0.142857,1
392,97587,2,0,2319,0,0,0,0.25,0,0.2,0.142857,1
393,97585,2,0,2319,0,0,0,0.25,0,0.2,0.142857,1
394,97587,2,0,2319,0,0,0,0.25,0,0.2,0.142857,1
395,97588,2,0,2319,0,0,0,0.25,0,0.2,0.142857,1
396,97590,2,0,2319,0,0,0,0.25,0,0.2,0.142857,1
397,97591,3,0,2319,0,0,0,0.25,0,0.2,0.142857,1
